graph_id,c_ids,total_nodes,pct_matched
DB00741_MESH_D012713_1,"['PUBCHEM.COMPOUND:5754', 'PUBCHEM.COMPOUND:5744', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'MONDO:0005492', 'HP:0002829', 'MONDO:0043789']",13,100.0
DB00741_MESH_D052256_1,"['PUBCHEM.COMPOUND:5754', 'PUBCHEM.COMPOUND:219121', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'HP:0012531', 'UBERON:0000043', 'MONDO:0100010']",13,100.0
DB00242_MESH_D007943_1,"['PUBCHEM.COMPOUND:20279', 'PUBCHEM.COMPOUND:452857', 'NCBIGene:6240', 'NCBIGene:50484', 'NCBIGene:6241', 'NCBIGene:5422', 'UniProtKB:P56282', 'NCBIGene:54107', 'UniProtKB:Q9NR33', 'GO:0006260', 'HP:0031378', 'PUBCHEM.COMPOUND:44135672', 'MONDO:0018935']",13,100.0
DB08890_MESH_D043183_1,"['PUBCHEM.COMPOUND:16158208', 'NCBIGene:2984', 'GO:0006182', 'GO:0015701', 'GO:0006821', 'GO:0006833', 'UBERON:0002466', 'GO:0120054', 'UBERON:0001800', 'UBERON:0025525', 'HP:0030895', 'HP:0012531', 'MONDO:0005052']",13,100.0
DB00480_MESH_D020522_1,"['PUBCHEM.COMPOUND:216326', 'GO:0001525', 'NCBIGene:51185', 'NCBIGene:10320', 'NCBIGene:22806', 'GO:0042098', 'GO:0030101', 'GO:0006915', 'GO:0071349', 'NCBIGene:7124', 'GO:0071347', 'GO:0071354', 'MONDO:0018876']",13,100.0
DB00599_MESH_D011559_1,"['PUBCHEM.COMPOUND:23665410', 'NCBIGene:2554', 'NCBIGene:2555', 'NCBIGene:2556', 'NCBIGene:2557', 'NCBIGene:2558', 'NCBIGene:2559', 'GO:0022851', 'GO:0060081', 'GO:0019228', 'CL:0000198', 'HP:0012531', 'MONDO:0009468']",13,100.0
DB04842_MESH_D012559_1,"['PUBCHEM.COMPOUND:3396', 'NCBIGene:1813', 'GO:0014046', 'PUBCHEM.COMPOUND:681', 'UBERON:0009834', 'UBERON:0001910', 'HP:0100543', 'HP:0030213', 'HP:0012154', 'HP:0002465', 'HP:0000741', 'MONDO:0005485', 'MONDO:0005090']",13,100.0
DB00668_MESH_D000707_1,"['PUBCHEM.COMPOUND:5816', 'NCBIGene:148', 'NCBIGene:147', 'NCBIGene:146', 'NCBIGene:154', 'REACT:R-HSA-416476', 'REACT:R-HSA-416482', 'REACT:R-HSA-418555', 'GO:0042310', 'MONDO:0005492', 'GO:0006939', 'GO:0002553', 'MONDO:0100053']",13,100.0
DB00694_MESH_D004915_1,"['PUBCHEM.COMPOUND:30323', 'GO:0001207', 'GO:0009299', 'NCBIGene:7153', 'NCBIGene:7155', 'GO:0032993', 'CHEBI:26519', 'UMLS:C0012860', 'GO:0006260', 'HP:0031377', 'GO:0006915', 'GO:0140014', 'MONDO:0017858']",13,100.0
DB01349_MESH_D006973_1,"['PUBCHEM.COMPOUND:60919', 'PUBCHEM.COMPOUND:54693559', 'NCBIGene:185', 'REACT:R-HSA-2022377', 'GO:0003092', 'GO:0070294', 'HP:0032263', 'GO:0042310', 'GO:0035932', 'GO:0003095', 'UBERON:0001235', 'MONDO:0005044', 'MONDO:0005044']",13,100.0
